"name"	"mz"	"01_sample"	"02_sample"	"03_sample"	"04_sample"	"05_sample"	"06_sample"	"07_sample"	"08_sample"	"09_sample"	"10_sample"	"23_pool"	"24_pool"	"71_blank"	"72_blank"
"FA(17:0)_[M-H]1-"	269.2486	-0.000699999999994816	-0.000799999999969714	-0.00130000000001473	-0.00149999999996453	-0.00159999999999627	-0.00159999999999627	-0.00139999999998963	-0.00130000000001473	-0.00159999999999627	-0.00169999999997117	-0.000900000000001455	-0.000699999999994816	-0.00139999999998963	-0.00130000000001473
"2H-IS_FA_15_[M-H]1-"	269.3944	0.000699999999994816	0.00050000000004502	0.000100000000031741	-0.000200000000006639	-0.000200000000006639	-0.000200000000006639	-9.99999999748979e-05	0.000100000000031741	-0.000200000000006639	-0.000299999999981537	0.00050000000004502	0.000699999999994816	0	0.000100000000031741
"2H-IS_FA_15_[M-H]1-"	270.4003	0.000300000000038381	0.000200000000006639	-0.000200000000006639	-0.000499999999988177	-0.000499999999988177	-0.000499999999988177	-0.000399999999956435	-0.000200000000006639	-0.000499999999988177	-0.000499999999988177	0.000100000000031741	0.000400000000013279	-0.000399999999956435	-0.000299999999981537
"FA(16:0)-OH_[M-H]1-"	271.2279	-0.000800000000026557	-0.000699999999994816	-0.00130000000001473	-0.00150000000002137	-0.00150000000002137	-0.00150000000002137	-0.00140000000004648	-0.00120000000003984	-0.00140000000004648	-0.00159999999999627	-0.0010000000000332	-0.000699999999994816	-0.00140000000004648	-0.00120000000003984
"2H-IS_FA_15_[M-H]1-"	271.4036	9.99999999748979e-05	9.99999999748979e-05	-0.000300000000038381	-0.00050000000004502	-0.000600000000019918	-0.000600000000019918	-0.00050000000004502	-0.000300000000038381	-0.000600000000019918	-0.000699999999994816	-0.000100000000031741	0.000200000000006639	-0.00050000000004502	-0.000400000000013279
"2H-IS_FA_15_[M-H]1-"	272.4068	0	0.000499999999988177	-0.000300000000038381	-0.000600000000019918	-0.000600000000019918	-0.00050000000004502	-0.000300000000038381	0.000199999999949796	-0.000100000000031741	-0.00050000000004502	0.000599999999963075	0	-0.00110000000000809	9.99999999748979e-05
"FA(18:4)_[M-H]1-"	275.2017	0.000200000000006639	-0.000799999999969714	-0.000900000000001455	-0.00110000000000809	-0.000900000000001455	-0.00169999999997117	-0.00110000000000809	-0.00129999999995789	-0.000900000000001455	-0.00189999999997781	-0.000999999999976353	0	0.00960000000003447	0
"FA(18:3)_[M-H]1-"	277.2173	-0.000599999999963075	-0.000699999999994816	-0.00129999999995789	-0.00149999999996453	-0.00159999999999627	-0.00149999999996453	-0.00139999999998963	-0.00119999999998299	-0.00159999999999627	-0.00159999999999627	-0.000900000000001455	-0.000599999999963075	0	-0.00119999999998299
"FA(18:2)_[M-H]1-"	279.233	-0.000600000000019918	-0.000799999999969714	-0.00130000000001473	-0.00150000000002137	-0.00159999999999627	-0.00150000000002137	-0.00139999999998963	-0.00130000000001473	-0.00159999999999627	-0.00159999999999627	-0.000900000000001455	-0.000600000000019918	-0.00139999999998963	-0.00119999999998299
"FA(18:1)_[M-H]1-"	281.2486	-0.000699999999994816	-0.000799999999969714	-0.00130000000001473	-0.00149999999996453	-0.00159999999999627	-0.00159999999999627	-0.00149999999996453	-0.00130000000001473	-0.00159999999999627	-0.00169999999997117	-0.000900000000001455	-0.000599999999963075	-0.00149999999996453	-0.00130000000001473
