mz	name
530.3383	LPC-2O_17:0_[M+Cl]1-
531.2728	LPG_20:4_[M-H]1-
532.3409	LPE_22:2_[M-H]1-
532.4735	Cer_34:3_[M-H]1-
533.2885	LPG_20:3_[M-H]1-
533.4575	FAHFA_PAHOA_[M-H]1-
534.3565	LPE_22:1_[M-H]1-
534.4892	Cer_34:2_[M-H]1-
535.3041	LPG_20:2_[M-H]1-
535.3405	PA_24:0_[M-H]1-
535.4732	FAHFA_PAHSA_[M-H]1-
536.2186	PC_16:2_[M+Cl]1-
536.2994	LPS_19:1_[M-H]1-
536.3358	LPS-P_20:0_[M-H]1-
536.3722	LPE_22:0_[M-H]1-
536.5048	Cer_34:1_[M-H]1-
537.3198	LPG_20:1_[M-H]1-
538.315	LPC_15:1_[M+OAC]1- / LPS_19:0_[M-H]1-
538.3514	LPC-O_16:1_[M+OAC]1- / LPS-O_20:0_[M-H]1-
538.4477	Cer_30:2_[M+OAC]1-
539.3354	LPG_20:0_[M-H]1-
540.2862	LPC_17:2_[M+Cl]1-
540.2943	PC_14:0_[M+OAC]1-
540.3226	LPC-P_18:1_[M+Cl]1-
540.3307	LPC_15:0_[M+OAC]1-
540.3671	LPC-2O_16:0_[M+OAC]1-
540.4189	Cer_32:3_[M+Cl]1-
540.4633	Cer_30:1_[M+OAC]1-
541.2419	LPI_14:1_[M-H]1-
542.2524	LPS_20:5_[M-H]1-
542.3019	LPC_17:1_[M+Cl]1-
542.3383	LPC-O_18:1_[M+Cl]1-
542.4345	Cer_32:2_[M+Cl]1-
543.2576	LPI_14:0_[M-H]1-
544.2681	LPS_20:4_[M-H]1-
544.2812	PC_16:0_[M+Cl]1-
544.3175	PC-O_17:0_[M+Cl]1-
544.3539	LPC-2O_18:0_[M+Cl]1-
544.4502	Cer_32:1_[M+Cl]1-
546.2837	LPS_20:3_[M-H]1-
548.2994	LPS_20:2_[M-H]1-
548.5048	Cer_35:2_[M-H]1-
549.3562	PA_25:0_[M-H]1-
550.2706	LPC_18:4_[M+Cl]1-
550.315	LPS_20:1_[M-H]1-
550.5205	Cer_35:1_[M-H]1-
552.2862	LPC_18:3_[M+Cl]1-
552.3307	LPC_16:1_[M+OAC]1- / LPS_20:0_[M-H]1-
552.3671	LPC-P_17:0_[M+OAC]1-
553.3147	PG_20:0_[M-H]1-
553.3511	LPG_21:0_[M-H]1-
554.3019	LPC_18:2_[M+Cl]1-
554.3383	LPC-O_19:1_[M+Cl]1-
554.3463	PC-O_16:0_[M+OAC]1-
554.3827	LPC-2O_17:0_[M+OAC]1-
555.2576	LPI_15:1_[M-H]1-
555.2728	LPG_22:6_[M-H]1-
555.294	LPI-P_16:0_[M-H]1-
556.3175	PC-O_18:1_[M+Cl]1-
556.3539	LPC-2O_19:1_[M+Cl]1-
556.4502	Cer_33:2_[M+Cl]1-
557.2732	LPI_15:0_[M-H]1-
